# slug	grade	title	url	note
earth-es1961	peer-reviewed	Explanatory Supplement to the Astronomical Ephemeris and the American Ephemeris and Nautical Almanac (HMSO, 1961)	https://archive.org/search?query=%22Explanatory+Supplement+to+the+Astronomical+Ephemeris%22	Section 6 (figure of the Earth: Hayford spheroid, the S and C functions) and Section 9B (eclipses: observer coordinates, Bessel's parametric-latitude device, rising and setting curves without refraction). Read from the archive.org OCR text kept in var/downloads/es1961_djvu.txt.
earth-es1992	peer-reviewed	Explanatory Supplement to the Astronomical Almanac, P. K. Seidelmann ed. (University Science Books, 1992)	https://archive.org/search?query=%22Explanatory+Supplement+to+the+Astronomical+Almanac%22+1992	Sections 2.553 (Stephenson and Morrison 1984 parabolas), 3.244 (terrestrial coordinates, MERIT 1983 ellipsoid), 3.283 (low-precision refraction, 34 arcmin horizontal refraction), 3.351 and 3.352 (IAU 1976 ellipsoid, GMST), 7.3 (apparent places include aberration), 8.12, 8.342, 8.353, 8.362 and 8.363 (eclipses: apparent places, shadow radius at height, height above the geoid, refraction as a refinement, the delta-T longitude correction). Read from the archive.org OCR text in var/downloads/es1992_djvu.txt.
earth-es2013	peer-reviewed	Explanatory Supplement to the Astronomical Almanac, 3rd edition, S. E. Urban and P. K. Seidelmann eds. (University Science Books, 2013)	https://ui.adsabs.harvard.edu/abs/2013esaa.book.....U	Not read for this note. Cited by the Photo Ephemeris technical note as one basis of its eclipse paths. Its eclipse chapter should be checked for changes to the 1992 formulas.
earth-nasa-deltatpoly	primary	Polynomial Expressions for Delta T (NASA Eclipse Web Site, F. Espenak and J. Meeus)	https://eclipse.gsfc.nasa.gov/SEhelp/deltatpoly2004.html	Read in full. The piecewise polynomials for -1999 to +3000, the decimal-year convention, and the correction c = -0.000012932 (y-1955)^2 for the -25.858 arcsec/cy^2 tidal acceleration of ELP-2000/82 versus the -26 arcsec/cy^2 of Morrison and Stephenson 2004.
earth-nasa-deltat	primary	Delta T: Terrestrial Dynamical Time and Universal Time (NASA Eclipse Web Site)	https://eclipse.gsfc.nasa.gov/SEhelp/deltat2004.html	Read in full. Definition, derivation from historical eclipses and occultations, table of values 1955 to 2005.
earth-nasa-deltat-uncertainty	primary	Uncertainty in Delta T (NASA Eclipse Web Site)	https://eclipse.gsfc.nasa.gov/SEhelp/uncertainty2004.html	Read in full. Huber Brownian-motion model for sigma outside the observed span (Q = 0.058 ms^2/yr, M = 2500 yr), the 0.8 t^2 parabola for 1000 BCE to 1200 CE, and the longitude equivalents of the errors.
earth-nasa-time	primary	Terrestrial Dynamical Time (NASA Eclipse Web Site, Five Millennium Canon of Lunar Eclipses help)	https://eclipse.gsfc.nasa.gov/LEcat5/time.html	Read. Definitions of TD, UT, UTC, leap seconds and the TD to UT conversion.
earth-5mcse	primary	Five Millennium Catalog of Solar Eclipses: -1999 to +3000, F. Espenak and J. Meeus, NASA/TP-2009-214174	https://eclipse.gsfc.nasa.gov/SEpubs/5MCSE.html	Sections 2.3 to 2.7 read from the PDF text kept in var/downloads/TP2009-214174.txt: delta-T definition, Table 2-1 (Morrison and Stephenson 2004 values with standard errors), Table 2-2 (1955 to 2005), the long-term parabola -20 + 32u^2, the 2.3 ms/cy tidal lengthening of the day, the Huber uncertainty model and its longitude equivalents.
earth-espenak-tp2001	primary	Total Solar Eclipse of 2001 June 21, F. Espenak and J. Anderson, NASA/TP-1999-209484	https://eclipse.gsfc.nasa.gov/SEpubs/bulletin.html	Read from the PDF text kept in var/downloads/TP209484_2001.txt. States that predictions use centre-of-mass positions with no refraction or limb corrections, that local circumstances are at sea level unless the elevation is known, and defines the elevation factor tan(90-A) sin(D) for shifting the path limits.
earth-nasa-2017-google	primary	Total Solar Eclipse of 2017 Aug 21, Google Maps page (NASA Eclipse Web Site, F. Espenak)	https://eclipse.gsfc.nasa.gov/SEgoogle/SEgoogle2001/SE2017Aug21Tgoogle.html	Read. States JPL DE405, delta-T = 68.4 s, no lunar limb corrections, and the 1 to 3 km and 1 to 3 s limb effect.
earth-nasa-2024-google	primary	Total Solar Eclipse of 2024 Apr 08, Google Maps page (NASA Eclipse Web Site, F. Espenak)	https://eclipse.gsfc.nasa.gov/SEgoogle/SEgoogle2001/SE2024Apr08Tgoogle.html	Read. States VSOP87/ELP2000-85 ephemerides, delta-T = 70.6 s, no lunar limb corrections, zoom limited to about 0.7 km per cm.
earth-nasa-2017-beselm	primary	Besselian Elements for the Total Solar Eclipse of 2017 Aug 21 (NASA Eclipse Web Site)	https://eclipse.gsfc.nasa.gov/SEbeselm/SEbeselm2001/SE2017Aug21Tbeselm.html	Read. Delta-T = 68.4 s, JPL DE405, k1 = 0.272508, k2 = 0.272281, elements from a least-squares fit at five times over six hours.
