# slug	label	definition
# GENERATED by tools/merge_refs.py from content/**/terms.tsv. Edit the fragments, not this file.
aberration	aberration	The displacement of an apparent direction caused by the observer's velocity, up to 20.5 arcsec for the Earth's orbital motion. It shifts the Sun and Moon by the same vector to first order and so cancels in the Sun-Moon relative geometry, but both bodies must be reduced the same way.
antialiasing	antialiasing	Assigning intermediate values to raster pixels that straddle a boundary, so that the edge is represented at sub-pixel precision rather than as a jagged step. In the SVS method the value comes from the sum of limb-test failures against a threshold set by the pixel area.
antumbra	antumbra	The extension of the Moon's shadow cone beyond its vertex, within which the Moon appears smaller than the Sun. Where the antumbra reaches the ground the eclipse is annular.
apparent-place	apparent place	A body's direction as seen from the Earth's centre at an instant, including light-time, aberration, precession and nutation, referred to the true equator and equinox of date.
apparent-semidiameter	apparent semidiameter	Half the angular diameter of a body as seen by the observer, arcsin(R / distance), where R is the adopted physical radius. Contacts occur when the separation of the centres equals the sum or difference of the two semidiameters.
argument-of-latitude	argument of latitude	The angle $F$ of the Moon along its orbit measured from the ascending node. A solar eclipse requires the new moon to occur with $F$ near 0 or 180 degrees, which Meeus tests with $|\sin F| < 0.36$.
astrometric-place	astrometric place	A position corrected for light-time only, referred to the ICRS axes. Astropy's get_body and SPICE's LT option return this level of reduction.
auxiliary-angle-psi	auxiliary angle ψ	The angle with $\sin\psi = \Delta/L$, where $\Delta$ is the perpendicular distance from the observer to the relative path of the shadow axis. The semi-duration of a phase is $L\cos\psi/n$.
auxiliary-elements	auxiliary elements	Derived rates $a'$, $b'$, $c'$ built from the Besselian elements and their time derivatives that make the condition for the northern and southern limits a single equation in the position angle $Q$.
axis-angle	position angle of the lunar axis	The angle, measured eastward from celestial north, of the Moon's rotation axis projected on the sky. Limb profiles are indexed from this axis, so it must be computed for the same time and observer as the libration. Written c in Wright and Young's limb test and stored as MoonC in the SVS umbra shapefiles.
bailys-beads	Baily's beads	Points of photospheric light shining through valleys on the lunar limb in the seconds around second and third contact. Their times at a site follow from the limb profile evaluated at each position angle.
bead-residual	bead residual	For a single Baily's bead event, the difference between the observed time and the time predicted for a given solar radius and limb profile, usually converted into an equivalent correction to the solar radius in arcseconds.
besselian-elements	Besselian elements	The time-dependent quantities $x$, $y$, $d$, $\mu$, $l_1$, $l_2$ and the constants $\tan f_1$, $\tan f_2$ that describe the Moon's shadow relative to the fundamental plane, from which any eclipse circumstance can be computed.
broken-annular	broken annular	A central eclipse phase, occurring in the gap between the umbra and the antumbra of a hybrid eclipse, in which the Moon is too large to fit inside the Sun and too small to cover it, so a thin ring of sunlight is interrupted by lunar peaks. Wright and Young map it where the range of limb radii exceeds the Sun to Moon separation.
canon	canon of eclipses	A publication listing every eclipse over a long span with elements or maps for each, such as Oppolzer 1887, Mucke and Meeus 1983 and the NASA Five Millennium Canon of 2006.
canonical-solar-radius	canonical solar radius	The angular semidiameter of the Sun at 1 au adopted as a standard from 1895 to 2015, 959.63 arcseconds, derived by Auwers in 1891 and still used in almanac eclipse predictions. About 695,990 km with the modern astronomical unit.
central-eclipse	central eclipse	An annular, total or hybrid eclipse in which the axis of the Moon's shadow crosses the Earth's surface, producing a central line. Most have two path limits, a few grazing cases have only one.
central-line	central line	The locus of points where the shadow axis meets the Earth's surface. It is found at each instant from $\xi = x$, $\eta_1 = y/\rho_1$ and $\zeta_1 = \sqrt{1 - \xi^2 - \eta_1^2}$, and exists only while the axis intersects the Earth.
centre-of-figure	centre of figure	The centre of the Moon's mean limb figure. The ephemeris tabulates the centre of mass, which lies about 1.9 km away, mostly along the Earth-Moon line, so the sky-plane part is about 0.5 arcseconds, historically applied as +0.50 arcseconds in longitude and −0.25 arcseconds in latitude. A limb profile referenced to the centre of mass, as the LOLA and Kaguya grids are, supersedes the correction.
