umbra	umbra	The cone of the Moon's shadow within which the Sun is completely hidden. Where the umbra reaches the ground the eclipse is total.
antumbra	antumbra	The extension of the Moon's shadow cone beyond its vertex, within which the Moon appears smaller than the Sun. Where the antumbra reaches the ground the eclipse is annular.
penumbra	penumbra	The outer part of the Moon's shadow within which the Sun is only partly hidden. Any place inside the penumbra sees at least a partial eclipse.
central-eclipse	central eclipse	An annular, total or hybrid eclipse in which the axis of the Moon's shadow crosses the Earth's surface, producing a central line. Most have two path limits, a few grazing cases have only one.
non-central-eclipse	non-central eclipse	An annular or total eclipse in which the shadow axis misses the Earth while one edge of the umbra or antumbra grazes the polar region, producing a track with one limit and no central line.
hybrid-eclipse	hybrid eclipse	An eclipse whose central path is total along some sections and annular along others because the umbral vertex lies close to the Earth's surface. Also called annular-total. Most begin and end annular with a total middle.
saros	Saros	An eclipse cycle of 223 synodic months, about 6585.32 days or 18 years 11 days 8 hours, after which the Sun, Moon and node return to nearly the same relative geometry. Eclipses one Saros apart belong to the same Saros series.
inex	Inex	An eclipse cycle of 358 synodic months, about 10,571.95 days or 29 years less 20 days, equal to 388.5 draconic months, so successive Inex eclipses occur at opposite nodes. Inex series last about 225 centuries.
saros-inex-panorama	Saros-Inex panorama	Van den Bergh's two-dimensional arrangement of all eclipses with Saros series as columns and Inex series as rows, so that any interval between eclipses is an integer combination of Saros and Inex periods.
lunation-number	lunation number	The count of synodic months since the new moon of 2000 January 6, negative before it. The Brown Lunation Number equals it plus 953. It indexes the mean new moon in Meeus's method and feeds the closed-form Saros number.
argument-of-latitude	argument of latitude	The angle $F$ of the Moon along its orbit measured from the ascending node. A solar eclipse requires the new moon to occur with $F$ near 0 or 180 degrees, which Meeus tests with $|\sin F| < 0.36$.
eclipse-season	eclipse season	The roughly 34.5-day interval, twice a year, during which the Sun is within about 17 degrees of a lunar node so that any new moon produces a solar eclipse. Successive seasons are 173.3 days apart.
exeligmos	Exeligmos	Three Saros periods, 669 synodic months or about 54 years 33 days, after which an eclipse path returns to roughly the same longitudes because the one-third day remainder of the Saros has accumulated to a whole day.
one-limit-eclipse	one-limit eclipse	A central eclipse whose umbral or antumbral shadow partly misses the Earth throughout, so the path has only a northern or only a southern limit. Catalog codes n and s mark these.
canon	canon of eclipses	A publication listing every eclipse over a long span with elements or maps for each, such as Oppolzer 1887, Mucke and Meeus 1983 and the NASA Five Millennium Canon of 2006.
