canonical-solar-radius	canonical solar radius	The angular semidiameter of the Sun at 1 au adopted as a standard from 1895 to 2015, 959.63 arcseconds, derived by Auwers in 1891 and still used in almanac eclipse predictions. About 695,990 km with the modern astronomical unit.
nominal-solar-radius	nominal solar radius	The IAU 2015 conversion constant of exactly 695,700 km (959.22 arcseconds at 1 au), chosen to match the helioseismic photosphere. It is a unit for expressing stellar radii, not a measured limb, and is too small for eclipse geometry.
eclipse-solar-radius	eclipse solar radius	The solar radius that, used in an accurate eclipse model with a lunar limb profile, reproduces observed second and third contacts. Flash-spectrum and photometer measurements put it at 959.95 to 960.0 arcseconds at 1 au, about 0.3 arcseconds larger than the canonical value.
inflection-point-radius	inflection-point radius	The radius at which the limb-darkening intensity profile is steepest, the standard definition of the photospheric limb used by limb-imaging instruments. It lies about 0.33 Mm above the Rosseland optical-depth 2/3 surface and about 0.65 arcseconds inside the last detectable photospheric light.
seismic-radius	seismic radius	The solar radius inferred from the frequencies of surface gravity (f) modes, 695,680 ± 30 km from SOHO/MDI. It refers to a subsurface layer and is about 300 km smaller than limb-based radii.
limb-darkening-function	limb-darkening function	The run of surface brightness with distance from the solar limb. Its steepness determines when a Baily's bead becomes visible, so bead timings depend on both the function and the detector's sensitivity.
flash-spectrum	flash spectrum	The emission-line spectrum of the thin solar atmosphere seen for a few seconds around second and third contact when the photosphere is almost fully covered. Its continuum component marks photospheric light and its lines mark the chromosphere, which lets the two be separated in timing.
photospheric-extinction	photospheric extinction	The interval during which no photospheric continuum reaches the observer, the physical definition of totality used to define the eclipse solar radius. Its start and end are second and third contact.
umbral-depth	umbral depth	The perpendicular distance from an observing site to the nearer limit of the umbral path, as reported by Jubier's map. IOTA recommends at least 2 km when the limit was computed with the canonical radius.
limb-test-zone	limb test zone	In Wright and Young's raster method, the band of observers near the umbra edge for which totality cannot be decided from the mean lunar radius and every limb element must be tested against the solar disk in units of the apparent solar radius.
