fundamental-plane	fundamental plane	The plane through the Earth's centre perpendicular to the axis of the Moon's shadow. Its x axis lies in the equator pointing east, its y axis points north, and the shadow's cross-section on it is an exact circle.
besselian-elements	Besselian elements	The time-dependent quantities $x$, $y$, $d$, $\mu$, $l_1$, $l_2$ and the constants $\tan f_1$, $\tan f_2$ that describe the Moon's shadow relative to the fundamental plane, from which any eclipse circumstance can be computed.
point-z	point Z	The point on the celestial sphere toward which the shadow axis is directed, equal to the direction of the Sun as seen from the Moon's centre. Its right ascension a and declination d orient the fundamental plane.
shadow-axis	shadow axis	The line through the centres of the Sun and Moon, common to the umbral and penumbral cones. Its intersection with the fundamental plane has coordinates (x, y).
ephemeris-hour-angle	ephemeris hour angle	The hour angle of the point Z measured from the ephemeris meridian, which lies $1.002738\,\Delta T$ east of Greenwich. Modern tables measure $\mu$ from Greenwich instead and bake ΔT into it.
horizontal-parallax	horizontal parallax	The angle subtended by the Earth's equatorial radius at a body's distance. The Moon's horizontal parallax $\pi_m$ gives its distance in Earth radii as $1/\sin\pi_m$. The Sun's at 1 au is 8.794 arcseconds.
solar-semidiameter-s0	s0 (solar semidiameter)	The Sun's angular semidiameter at 1 au adopted for eclipse work, 959.63 arcseconds (Auwers 1891), equivalent to a radius of 696 000 km.
penumbral-cone	penumbral cone	The cone formed by the interior common tangents of the Sun and Moon, with vertex between them. Inside it the Sun is at least partly hidden. Subscript 1 in almanac notation.
umbral-cone	umbral cone	The cone formed by the exterior common tangents of the Sun and Moon, with vertex beyond the Moon. Inside it the Sun is totally hidden; beyond its vertex the eclipse is annular (antumbra). Subscript 2 in almanac notation.
l1-l2	l₁ and l₂	The radii of the penumbra and umbra on the fundamental plane in Earth equatorial radii. $l_1$ is always positive. $l_2$ is negative for a total eclipse and positive for an annular one.
gamma	gamma	The distance of the shadow axis from the Earth's centre in Earth equatorial radii at greatest eclipse, positive when the axis passes north of the centre. Values of $|\gamma|$ below about 0.9972 give a central eclipse.
apparent-place	apparent place	A body's direction as seen from the Earth's centre at an instant, including light-time, aberration, precession and nutation, referred to the true equator and equinox of date.
geometric-position	geometric position	The straight-line direction from the observer to a body at an instant with no correction for light-time or aberration.
greatest-eclipse	greatest eclipse	The instant when the shadow axis passes closest to the Earth's centre, at which $\gamma$ is defined and the catalogued circumstances are quoted.
earth-flattening	Earth flattening	The quantity $f = (a - b)/a$ of the reference ellipsoid, 1/298.257 in the 1992 Explanatory Supplement. It converts an observer's geodetic latitude to the geocentric coordinates used with Besselian elements.
