central-line	central line	The locus of points where the shadow axis meets the Earth's surface. It is found at each instant from $\xi = x$, $\eta_1 = y/\rho_1$ and $\zeta_1 = \sqrt{1 - \xi^2 - \eta_1^2}$, and exists only while the axis intersects the Earth.
position-angle-q	position angle Q	The angle, measured eastward from north in the fundamental plane, of the shadow axis as seen from the observer's projected point. Limit curves and outline curves are parametrised by Q.
auxiliary-elements	auxiliary elements	Derived rates $a'$, $b'$, $c'$ built from the Besselian elements and their time derivatives that make the condition for the northern and southern limits a single equation in the position angle $Q$.
parametric-latitude	parametric latitude	The latitude $\phi_1$ defined by $\sin\phi_1 = \rho\sin\phi'/\sqrt{1 - e^2}$ and $\cos\phi_1 = \rho\cos\phi'$, which maps the Earth ellipsoid onto a unit sphere so that eclipse curves can be solved without knowing the observer's distance from the geocentre in advance.
rho-sin-phi	ρ sin φ′, ρ cos φ′	The observer's geocentric coordinates on the ellipsoid, $\rho\sin\phi' = (1 - e^2)\sin\phi\,(1 - e^2\sin^2\phi)^{-1/2}$ and $\rho\cos\phi' = \cos\phi\,(1 - e^2\sin^2\phi)^{-1/2}$, with $\phi$ the geodetic latitude and $e$ the eccentricity of the spheroid.
outline-curve	outline curve	The curve of all points at which the eclipse (partial for the penumbra, central for the umbra) is beginning or ending at a stated instant; the shadow's footprint on the ground at that time.
curve-of-maximum-eclipse	curve of maximum eclipse	The locus of points at which the eclipse reaches its maximum at a stated instant. Drawn at half-hour steps on world maps and at minute steps inside the umbral path.
equal-magnitude-curve	curve of equal magnitude	The contour of points where the magnitude at maximum eclipse has a fixed value, such as 0.5. Obtained by interpolation across the curves of maximum eclipse or by contouring a raster of maximum magnitude.
greatest-duration	greatest duration	The point on the central line where totality or annularity lasts longest. It is close to, but not the same as, the point of greatest eclipse, and can be shifted by 10 to 20 km by lunar limb effects.
path-width	path width	The width of the umbral or antumbral track measured on the ground perpendicular to the direction of motion, given by Mikhailov's 1931 formula from the shadow radius, the height above the fundamental plane and the direction of motion.
graze-zone	graze zone	The narrow band, typically 5 to 10 km wide, along each umbral limit where the irregular lunar limb makes the eclipse neither wholly total nor wholly partial and Baily's beads persist. NASA bulletins tabulate its interior and exterior boundaries.
elev-fact	Elev Fact	A multiplicative factor in NASA bulletins by which an umbral limit shifts perpendicular to the path per metre of observer elevation, equal to $\tan(90^{\circ} - A)\sin D$ with $A$ the Sun's altitude and $D$ the difference between the Sun's azimuth and the path azimuth.
