ephemeris	ephemeris	A table or function giving the position and velocity of a body as a function of time. Modern planetary and lunar ephemerides such as JPL DE440 are numerically integrated orbits fitted to observations and distributed as Chebyshev polynomial coefficients.
jpl-de	JPL DE series	The Development Ephemerides produced by JPL (DE200, DE405, DE421, DE430, DE440, DE441, DE442). Each is a single fit of the Sun, planets and Moon to tracking and laser-ranging data, with the lunar orbit accurate to about a metre in the present era.
spk-kernel	SPK kernel	A SPICE binary file (.bsp) holding ephemeris segments, each giving the position of a target relative to a centre over a time span. The Moon is segment 3 to 301 and the Earth 3 to 399, both relative to the Earth-Moon barycentre.
chebyshev	Chebyshev polynomials	The piecewise polynomial form in which SPK type 2 ephemerides store positions. Velocity is obtained by differentiating the polynomial, and evaluation needs no interpolation tables.
tdb	TDB	Barycentric Dynamical Time, the independent variable of the JPL, INPOP and EPM ephemerides. It differs from Terrestrial Time by periodic terms of about 1.7 ms amplitude, which are negligible for eclipse geometry.
ssb	solar-system barycentre	The centre of mass of the whole solar system and the origin of the ICRS and of the DE integrations. The Sun's centre wanders up to about 1.6 solar radii from it, so eclipse elements must use the Sun (body 10), not the barycentre (body 0).
icrf	ICRF	The International Celestial Reference Frame, the realisation of the ICRS by extragalactic radio sources, to which DE ephemerides are aligned to 0.0002 arcsec. Its axes differ from the J2000 dynamical axes by a constant bias of about 0.02 arcsec.
light-time	light-time	The travel time of light from a body to the observer, 499 s for the Sun and about 1.3 s for the Moon. An astrometric place is the geometric place at the emission time; forgetting the Sun's light-time misplaces it by about 20 arcsec.
aberration	aberration	The displacement of an apparent direction caused by the observer's velocity, up to 20.5 arcsec for the Earth's orbital motion. It shifts the Sun and Moon by the same vector to first order and so cancels in the Sun-Moon relative geometry, but both bodies must be reduced the same way.
astrometric-place	astrometric place	A position corrected for light-time only, referred to the ICRS axes. Astropy's get_body and SPICE's LT option return this level of reduction.
llr	lunar laser ranging (LLR)	Ranging to retroreflectors on the Moon from stations such as APOLLO, Grasse and McDonald since 1969. The recent range residuals of about 1 cm are what fix the lunar orbit and physical libration in DE440 and INPOP21a.
lunar-euler-angles	lunar libration Euler angles	The three angles $\phi$, $\theta$, $\psi$, integrated with the orbit and stored in the DE files or a binary PCK, that rotate the ICRF into the Moon's principal-axis frame and thus give the Moon's orientation at any time.
pa-frame	principal-axis (PA) frame	The Moon-fixed frame aligned with the principal axes of the lunar moment of inertia, in which the DE Euler angles are integrated. It is rotated by a constant of about 875 m on the surface from the mean-Earth frame.
