# slug	grade	title	url	note
limb-watts-1963	primary	Watts, C. B. (1963). The Marginal Zone of the Moon. Astronomical Papers prepared for the use of the American Ephemeris and Nautical Almanac, Vol. XVII	https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/122	The 1800 photographic limb charts at 0.2 deg steps in Watts angle, contour interval 0.2 arcsec. Not read in the original; its construction and datum are described from the VizieR VI/122 documentation, Morrison and Appleby 1981, Herald 1983 and Espenak's bulletins.
limb-vizier-vi122	primary	VizieR catalogue VI/122: The Marginal Zone of the Moon (Watts 1963), digitised by HMNAO and USNO, documentation file	https://vizier.cfa.harvard.edu/vizier/ftp/cats/vi/122/doc.txt	Read in full. Gives the record layout of WATTS.TXT, the libration grid (L -9 to +9, B -8 to +8 in 0.2 deg steps), 1800 Watts-angle points per block, the +0.21 deg Watts-angle offset, the 1.564 versus 1.542 deg inclination correction, the accuracy codes, and the photograph sequences 1927 to 1956.
limb-morrison-appleby-1981	peer-reviewed	Morrison, L. V. and Appleby, G. M. (1981). Analysis of lunar occultations III. Systematic corrections to Watts' limb-profiles for the Moon. MNRAS 196, 1013-1020	https://articles.adsabs.harvard.edu/pdf/1981MNRAS.196.1013M	Read in full from the ADS scan (OCR text). Source of the harmonic correction formula, the 1737.97 km datum radius, the +0.04 arcsec radius term, the -0.18 arcsec latitude shift, the -0.09 arcsec ellipticity, the +0.50 arcsec sin Q centre-of-figure term, and the 0.4 arcsec peak error.
limb-morrison-1979	peer-reviewed	Morrison, L. V. (1979). An analysis of lunar occultations in the years 1943-1974 for corrections to the constants in Brown's theory, the right ascension system of the FK4, and Watts' lunar-profile datum. MNRAS 187, 41	https://ui.adsabs.harvard.edu/abs/1979MNRAS.187...41M	Paper I of the series. Not read; cited through Morrison and Appleby 1981 for the elliptical datum and the centre-of-figure displacement of 0.72 arcsec in longitude.
limb-herald-1983	peer-reviewed	Herald, D. (1983). Correcting predictions of solar eclipse contact times for the effects of lunar limb irregularities. Journal of the British Astronomical Association 93, 241-246	https://articles.adsabs.harvard.edu/pdf/1983JBAA...93..241H	Read in full from the ADS scan (page images). The displacement-curve method: h = 960 (M-1)(1-cos P), r = 0.97 M n arcsec per second, radial rate r cos(PA-N), the path-limit factor 1.863 km per arcsec times sqrt(sin^2 D / sin^2 a + cos^2 D), the limiting magnitudes for total and annular eclipses, and the error budget.
limb-fiala-dunham-sofia-1994	peer-reviewed	Fiala, A. D., Dunham, D. W. and Sofia, S. (1994). Variation of the solar diameter from solar eclipse observations, 1715-1991. Solar Physics 152, 97-104	https://articles.adsabs.harvard.edu/pdf/1994SoPh..152...97F	Read pages 97-102 from the ADS scan. Describes the IOTA edge-observation method (Sofia, Dunham and Fiala 1979), its dependence on Watts data, and Table II of solar-radius corrections per eclipse relative to 959.63 arcsec.
limb-dunham-1980-science	peer-reviewed	Dunham, D. W., Sofia, S., Fiala, A. D., Herald, D. and Muller, P. M. (1980). Observations of a probable change in the solar radius between 1715 and 1979. Science 210, 1243-1245	https://doi.org/10.1126/science.210.4475.1243	Not read (paywalled); cited through Herald 1983 and Fiala et al. 1994 as the first published solar-radius result from eclipse-edge Baily's bead timings reduced with Watts profiles.
limb-espenak-tp2001	primary	Espenak, F. and Anderson, J. (1999). Total Solar Eclipse of 2001 June 21. NASA/TP-1999-209484	https://eclipse.gsfc.nasa.gov/SEpubs/20010621/text/lunar-limb-profile.html	Read from the local PDF text. Sections Mean Lunar Radius, Lunar Limb Profile and Limb Corrections to the Path Limits: Graze Zones. Source of the two k values, equations [8] and [9], the Lusaka worked example, Table 6 path corrections, the 5 to 10 km graze zone and the interior/exterior graze definitions.
limb-espenak-limb-page	primary	Espenak, F. The Lunar Limb Profile and Eclipse Predictions. NASA Eclipse Web Site	https://eclipse.gsfc.nasa.gov/SEhelp/limb.html	Read. Summary of Watts, the 0.4 arcsec systematic errors, the 2 to 3 second uncorrected error, the 0.5 second Watts-corrected agreement and the 0.2 second Kaguya/LRO level.
limb-eclipsewise-limb	company	Espenak, F. Lunar Limb Profile and Eclipse Predictions. EclipseWise	https://eclipsewise.com/solar/SEhelp/SElimb.html	Read. Same text as the NASA page with the added statement that Kaguya and LRO data bring the accuracy to about 0.2 seconds.
