# slug	label	definition
# Canonical definitions for terms that several raw topics defined; the raw fragments no longer carry them.
tt	Terrestrial Time (TT)	The uniform time scale of the ephemerides and of the Besselian elements, equal to TAI + 32.184 s. Older eclipse tables call it TDT, TD or Ephemeris Time (ET). Elements are computed in TT and converted to UT1 with ΔT before any Earth rotation is applied.
centre-of-figure	centre of figure	The centre of the Moon's mean limb figure. The ephemeris tabulates the centre of mass, which lies about 1.9 km away, mostly along the Earth-Moon line, so the sky-plane part is about 0.5 arcseconds, historically applied as +0.50 arcseconds in longitude and −0.25 arcseconds in latitude. A limb profile referenced to the centre of mass, as the LOLA and Kaguya grids are, supersedes the correction.
k-lunar-radius	k (lunar radius ratio)	The Moon's radius divided by the Earth's equatorial radius. The IAU 1982 mean is 0.2725076; Espenak uses 0.272281 for umbral contacts because it matches the deepest limb valleys and observed totality durations, and the Five Millennium Canon used 0.2724880 for penumbral contacts.
axis-angle	position angle of the lunar axis	The angle, measured eastward from celestial north, of the Moon's rotation axis projected on the sky. Limb profiles are indexed from this axis, so it must be computed for the same time and observer as the libration. Written c in Wright and Young's limb test and stored as MoonC in the SVS umbra shapefiles.
moon-me-frame	Moon mean-Earth/polar-axis (ME) frame	The lunar body-fixed frame whose z axis is the mean rotation pole and whose x axis points to the mean sub-Earth point, as realised by a JPL ephemeris. LRO LOLA, SLDEM2015 and Kaguya LALT grids use the ME frame of DE421; the SPICE frame MOON_ME_DE440_ME421 reproduces it from DE440.
rise-set-curve	rising and setting curve	The locus of points where the partial eclipse begins or ends exactly at sunrise or sunset: the end points of the outline curves, forming two loops or a distorted figure eight on the map. By almanac convention it is drawn for a geometric horizon, Sun's centre at zero altitude, no refraction.
secular-acceleration	secular acceleration of the Moon	The tidal acceleration of the Moon's mean motion, about −25.8 arcseconds per century squared. Every lunar ephemeris embeds a value of it, and ΔT values derived from historical eclipses depend on which value was assumed.
delta-t	ΔT	The difference TT − UT1 between uniform Terrestrial Time, in which the elements are computed, and Universal Time, which follows the Earth's irregular rotation. About 69 s in 2024. It converts the hour angle μ to a geographic longitude, is known only by prediction for future eclipses, and is the largest error source for historical ones.
eop	Earth orientation parameters (EOP)	The measured quantities UT1 − UTC, polar motion (x, y), length of day and celestial pole offsets, published by the IERS, that relate the Earth-fixed frame to the celestial frame. They cannot be known in advance and are the only prediction inputs that must be re-fetched before an eclipse.
dem	digital elevation model (DEM)	A gridded dataset of surface heights: for the Moon (LOLA, SLDEM2015, Kaguya LALT) to build limb profiles, for the Earth (SRTM, Copernicus) to raise observers above the ellipsoid.
