# slug	label	definition
# Slugs already defined by other topic fragments and reused here without redefinition: bailys-beads, centre-of-figure, eclipse-magnitude, graze-zone, k-lunar-radius, limb-correction, position-angle-of-axis.
limb-profile	lunar limb profile	The height of the Moon's silhouette edge above a reference sphere, tabulated as a function of position angle around the disk for a given libration. It is what turns a smooth-disk eclipse prediction into one that knows where the valleys are.
watts-angle	Watts angle	The position angle around the lunar limb used as the argument of Watts' 1963 charts, measured eastward from the projection of the Moon's north pole as Watts constructed it. It differs from the true axis angle by a small constant offset, quoted as 0.21 to 0.25 degrees by different reducers.
libration	libration	The slow apparent rocking of the Moon that changes which part of its surface faces an observer, expressed as a longitude and a latitude of the sub-observer point in selenographic coordinates. It ranges about plus or minus 8 degrees in each coordinate and sets which terrain lies on the limb.
topocentric-libration	topocentric libration	The libration seen from a specific point on Earth rather than from the geocentre. It differs from geocentric libration by up to about one degree because of lunar parallax, so the limb profile is observer-dependent.
position-angle	position angle	An angle measured on the sky at the centre of a disk, from celestial north through east, used to locate a point on the limb of the Sun or Moon. Contact points and limb heights are indexed by it.
mean-limb	mean limb	The circle a smooth spherical Moon of radius k would present. Limb heights are quoted as departures from it, and uncorrected contact times are computed for it.
watts-datum	Watts datum	The smooth reference surface to which Watts' chart heights refer. Occultation analyses found it slightly elliptical, offset from the centre of mass, and varying with libration, so corrections are needed before comparing Watts heights with a centre-of-mass ephemeris.
centre-of-mass	centre of mass	The point whose motion the lunar ephemeris describes. Modern DEMs express heights relative to a sphere centred here, which is why they need no centre-of-figure correction.
ldem	LDEM	The LOLA Lunar Digital Elevation Model series in the LRO GDR archive, gridded in equirectangular projection at 4, 16, 64, 128, 256, 512 and 1024 pixels per degree with heights in metres above a 1737.4 km sphere.
sldem2015	SLDEM2015	A merged DEM of LOLA altimetry co-registered with SELENE Terrain Camera stereo, covering 60 S to 60 N at 512 pixels per degree, about 60 m at the equator, with a typical vertical accuracy of 3 to 4 m.
pixels-per-degree	pixels per degree (ppd)	The resolution unit of lunar DEMs. At the Moon's equator one degree is 30.3 km, so 128 ppd is 237 m per cell and 512 ppd is 59 m.
sub-observer-point	sub-observer point	The point on the Moon directly below the observer, whose selenographic longitude and latitude are the topocentric libration. The limb lies on the great circle 90 degrees from it, shifted slightly by parallax at finite distance.
second-contact	second contact (C2)	The instant totality or annularity begins. For a total eclipse it is when the last photospheric bead disappears; for an annular eclipse it is when the ring first closes.
third-contact	third contact (C3)	The instant totality or annularity ends. For a total eclipse it is when the first bead reappears.
ldf-inflection	limb darkening function inflection point	The conventional definition of the solar limb used in radius measurements: the radius at which the drop-off of photospheric brightness is steepest.
