ephemeris-longitude	ephemeris longitude	An observer's longitude shifted by $1.002738\,\Delta T$ so that it can be combined with the shadow-axis hour angle $\mu$, which is tabulated against Terrestrial Time rather than Universal Time.
observer-plane-radii	L₁′ and L₂′	The penumbral and umbral cone radii at the observer's own plane, $L' = L - \zeta\tan f$, where $\zeta$ is the observer's height above the fundamental plane along the axis. $L_2'$ is negative inside the umbra (total) and positive inside the antumbra (annular).
uv-coordinates	u, v, m, n	$u = x - \xi$ and $v = y - \eta$ are the shadow axis position relative to the observer in the observer's plane, $m = \sqrt{u^2 + v^2}$ is their distance and $n$ the relative speed in Earth radii per hour. Contacts occur when $m$ equals $L_1'$ or $|L_2'|$.
auxiliary-angle-psi	auxiliary angle ψ	The angle with $\sin\psi = \Delta/L$, where $\Delta$ is the perpendicular distance from the observer to the relative path of the shadow axis. The semi-duration of a phase is $L\cos\psi/n$.
position-angle-p	position angle P (Q)	The angle of a contact point on the solar limb measured eastward (counter-clockwise) from the north point of the disc. At a contact $\tan Q = u/v$, with the sign of $\sin Q$ reversed for the interior contacts of a total eclipse.
vertex-angle-v	vertex angle V	The position angle of a contact measured counter-clockwise from the zenith point of the solar disc, $V = Q - C$, where $C$ is the parallactic angle. Some calculators report it as a clock-face hour instead.
parallactic-angle	parallactic angle C	The angle at the Sun between the direction to the celestial pole and the direction to the zenith, $\tan C = \xi/\eta$ in fundamental-plane coordinates. It converts north-referenced to zenith-referenced position angles.
eclipse-magnitude	eclipse magnitude	The fraction of the solar diameter covered by the Moon at maximum eclipse. In the partial phase it is $(L_1' - m)/(L_1' + L_2')$. Inside the umbra or antumbra NASA reports instead the ratio of the apparent lunar to solar diameters, $(L_1' - L_2')/(L_1' + L_2')$.
bailys-beads	Baily's beads	Points of photospheric light shining through valleys on the lunar limb in the seconds around second and third contact. Their times at a site follow from the limb profile evaluated at each position angle.
topocentric	topocentric	Referred to the observer's actual position on the Earth's surface rather than to the Earth's centre. Topocentric positions include diurnal parallax and, for the Moon, differ from geocentric ones by up to about one degree.
apparent-semidiameter	apparent semidiameter	Half the angular diameter of a body as seen by the observer, arcsin(R / distance), where R is the adopted physical radius. Contacts occur when the separation of the centres equals the sum or difference of the two semidiameters.
position-angle-of-axis	position angle of axis	Position angle on the lunar disc measured from the Moon's north pole of rotation eastward, the coordinate against which limb-profile heights are tabulated. It differs from the celestial position angle by the position angle of the lunar axis.
